epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1938.28,0.87028,0.44455,0.95849,0.95601,0.94412,0.94366,0.67257,1.0021,0.4392,1.03358,0.000239497,0.000239497,0.000239497
71,1953.36,0.87858,0.44604,0.96913,0.96367,0.94601,0.94561,0.66929,0.99584,0.43916,1.03804,0.00023491,0.00023491,0.00023491
72,1968.52,0.87998,0.44781,0.96651,0.95816,0.94146,0.94508,0.67222,1.00013,0.43426,1.03698,0.000230323,0.000230323,0.000230323
73,1983.98,0.88851,0.44719,0.97308,0.96497,0.94344,0.94629,0.6696,1.00931,0.44254,1.04063,0.000225736,0.000225736,0.000225736
74,1999.77,0.87487,0.44478,0.96978,0.97472,0.94752,0.94588,0.66962,1.00238,0.43821,1.03873,0.000221149,0.000221149,0.000221149
75,2015.43,0.88382,0.44609,0.96716,0.96669,0.94582,0.9463,0.67552,1.00712,0.43694,1.0401,0.000216562,0.000216562,0.000216562
76,2031.04,0.87511,0.44464,0.96596,0.96325,0.94834,0.94585,0.67876,0.99365,0.43427,1.0394,0.000211975,0.000211975,0.000211975
77,2046.74,0.86232,0.4335,0.96169,0.96935,0.94594,0.94696,0.67633,0.99646,0.43338,1.04096,0.000207388,0.000207388,0.000207388
78,2062.28,0.87479,0.44333,0.96271,0.96479,0.9478,0.94523,0.66901,1.01304,0.44201,1.04228,0.000202801,0.000202801,0.000202801
79,2077.91,0.85664,0.4371,0.95401,0.96587,0.94512,0.94589,0.67144,1.00316,0.43213,1.04349,0.000198214,0.000198214,0.000198214
80,2093.33,0.86344,0.43769,0.96521,0.9669,0.94398,0.9461,0.67234,1.004,0.43381,1.04058,0.000193627,0.000193627,0.000193627
81,2108.67,0.86255,0.43746,0.96062,0.96066,0.94325,0.94438,0.66916,0.99904,0.43062,1.04121,0.00018904,0.00018904,0.00018904
82,2124.18,0.85872,0.43419,0.95826,0.97124,0.95055,0.94522,0.67216,1.00562,0.43102,1.04373,0.000184453,0.000184453,0.000184453
83,2139.4,0.84998,0.43041,0.96031,0.96725,0.94524,0.94489,0.67609,0.99453,0.43256,1.03731,0.000179866,0.000179866,0.000179866
84,2153.92,0.8448,0.42892,0.95612,0.96526,0.94255,0.94621,0.67121,1.00366,0.43245,1.04168,0.000175279,0.000175279,0.000175279
85,2168.39,0.83941,0.45095,0.95012,0.97528,0.94467,0.94563,0.67556,0.99576,0.42978,1.03869,0.000170692,0.000170692,0.000170692
86,2182.77,0.84301,0.42503,0.95413,0.9665,0.94578,0.94622,0.67316,0.99672,0.43015,1.03954,0.000166105,0.000166105,0.000166105
87,2197.39,0.83822,0.42624,0.95302,0.96477,0.94872,0.94487,0.67032,1.00803,0.43019,1.04167,0.000161518,0.000161518,0.000161518
88,2212.09,0.8304,0.42332,0.94973,0.96395,0.94458,0.94594,0.67941,0.99726,0.42674,1.03869,0.000156931,0.000156931,0.000156931
89,2227.68,0.83267,0.42426,0.95107,0.96935,0.94468,0.94574,0.67067,1.00527,0.43097,1.04616,0.000152344,0.000152344,0.000152344
90,2243.45,0.84944,0.42581,0.95648,0.96365,0.94727,0.94593,0.67424,0.99566,0.42419,1.04328,0.000147757,0.000147757,0.000147757
91,2258.9,0.83891,0.42611,0.95646,0.9747,0.94359,0.94638,0.67026,0.99331,0.42449,1.04561,0.00014317,0.00014317,0.00014317
92,2273.49,0.8228,0.41777,0.95589,0.96757,0.94675,0.94691,0.67379,0.994,0.42308,1.04252,0.000138583,0.000138583,0.000138583
93,2288.07,0.82476,0.42109,0.9513,0.96602,0.94424,0.94697,0.67695,0.99206,0.42114,1.04339,0.000133996,0.000133996,0.000133996
94,2302.44,0.82305,0.41556,0.95251,0.96142,0.94325,0.9444,0.67183,1.00065,0.42297,1.04311,0.000129409,0.000129409,0.000129409
95,2317.7,0.81706,0.41784,0.95077,0.96486,0.94563,0.94571,0.68093,0.9921,0.42425,1.04242,0.000124822,0.000124822,0.000124822
96,2333.21,0.81358,0.41461,0.94887,0.9653,0.94566,0.94667,0.67785,0.99547,0.42024,1.04352,0.000120235,0.000120235,0.000120235
97,2349.08,0.80532,0.41088,0.9455,0.96776,0.94474,0.94583,0.67398,0.99446,0.42194,1.0452,0.000115648,0.000115648,0.000115648
98,2364.6,0.8131,0.41441,0.94643,0.9715,0.94152,0.94676,0.68009,0.9903,0.41993,1.04322,0.000111061,0.000111061,0.000111061
99,2380.29,0.80996,0.41183,0.94694,0.96417,0.94677,0.94659,0.67986,0.99061,0.41534,1.04384,0.000106474,0.000106474,0.000106474
100,2395.83,0.81349,0.41134,0.9434,0.96467,0.94715,0.94701,0.67437,1.00043,0.42255,1.04445,0.000101887,0.000101887,0.000101887
101,2411.26,0.8011,0.40839,0.94292,0.96426,0.94811,0.94678,0.68324,0.98512,0.418,1.04356,9.73e-05,9.73e-05,9.73e-05
102,2426.73,0.80247,0.40924,0.94207,0.96845,0.94444,0.94689,0.67771,0.99023,0.41995,1.04549,9.2713e-05,9.2713e-05,9.2713e-05
103,2442.1,0.78754,0.40202,0.93934,0.96554,0.94652,0.94701,0.67973,1.00437,0.42027,1.0496,8.8126e-05,8.8126e-05,8.8126e-05
104,2457.4,0.79785,0.40482,0.94508,0.96821,0.94459,0.94799,0.67903,0.99834,0.41922,1.04787,8.3539e-05,8.3539e-05,8.3539e-05
105,2473.22,0.78781,0.39931,0.93749,0.96457,0.94277,0.94637,0.67757,1.00083,0.42046,1.04787,7.8952e-05,7.8952e-05,7.8952e-05
106,2488.9,0.77963,0.39867,0.93473,0.96753,0.94596,0.94715,0.67447,1.00092,0.41641,1.04854,7.4365e-05,7.4365e-05,7.4365e-05
107,2504.44,0.78997,0.40139,0.94349,0.96384,0.94477,0.94596,0.67607,0.99548,0.41578,1.04719,6.9778e-05,6.9778e-05,6.9778e-05
108,2519.71,0.78382,0.39952,0.93988,0.96425,0.94311,0.94603,0.68155,0.99294,0.41813,1.04855,6.5191e-05,6.5191e-05,6.5191e-05
109,2534.97,0.77663,0.39819,0.93675,0.96347,0.9452,0.94578,0.67609,0.99723,0.41969,1.05005,6.0604e-05,6.0604e-05,6.0604e-05
110,2550.23,0.78474,0.3985,0.94089,0.965,0.94611,0.94631,0.67755,0.99137,0.41421,1.04799,5.6017e-05,5.6017e-05,5.6017e-05
111,2581.71,0.74184,0.36161,0.93597,0.96874,0.94634,0.94655,0.67582,0.99043,0.41696,1.05079,5.143e-05,5.143e-05,5.143e-05
112,2596.74,0.73225,0.35952,0.93388,0.96695,0.94629,0.94662,0.67681,0.99295,0.41523,1.05216,4.6843e-05,4.6843e-05,4.6843e-05
113,2611.62,0.72714,0.35842,0.93254,0.97009,0.94739,0.94691,0.67936,0.99348,0.41564,1.05012,4.2256e-05,4.2256e-05,4.2256e-05
114,2626.16,0.72165,0.35171,0.9292,0.97307,0.9454,0.94696,0.67882,0.99342,0.41644,1.05088,3.7669e-05,3.7669e-05,3.7669e-05
115,2641.45,0.71932,0.35408,0.92613,0.9691,0.94533,0.94733,0.67762,0.9915,0.41563,1.05377,3.3082e-05,3.3082e-05,3.3082e-05
116,2656.64,0.71405,0.35254,0.92399,0.96906,0.94602,0.94702,0.67564,0.99075,0.41631,1.05318,2.8495e-05,2.8495e-05,2.8495e-05
117,2672.2,0.70545,0.34633,0.92143,0.96915,0.94564,0.94708,0.67785,0.99055,0.41478,1.05261,2.3908e-05,2.3908e-05,2.3908e-05
118,2701.22,0.70716,0.34673,0.92549,0.96912,0.9452,0.94681,0.6755,0.99203,0.41237,1.05292,1.9321e-05,1.9321e-05,1.9321e-05
119,2720.33,0.7069,0.35007,0.92197,0.96982,0.94586,0.94687,0.67712,0.99168,0.41354,1.05268,1.4734e-05,1.4734e-05,1.4734e-05
120,2747.18,0.70393,0.34629,0.92006,0.96886,0.94576,0.94713,0.67626,0.99329,0.41409,1.05376,1.0147e-05,1.0147e-05,1.0147e-05
